season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2007,4,111,BUF,WrigDw01,Dwayne Wright,RB,Fresno St.,0,0,0,15,29,94,0,0,0,8,0,3,3,17,0,1,1,-2,19,1,0
2007,4,137,BAL,McClLe00,Le'Ron McClain,RB,Alabama,1,2,6,111,393,1417,15,3,1,107,0,95,118,553,3,2,2,-33,608,28,0
2007,5,148,KAN,SmitKo00,Kolby Smith,RB,Louisville,0,0,0,27,162,540,3,0,0,32,0,34,34,209,0,0,0,-18,227,5,0
2007,6,181,MIA,MauiRe00,Reagan Maui'a,RB,Hawaii,0,0,1,39,4,5,0,0,0,0,0,6,11,44,0,1,0,35,39,3,0
2007,6,186,SFO,,Thomas Clayton,RB,Kansas St.,0,0,0,,15,29,0,0,0,2,0,1,1,3,0,0,0,-4,7,0,0
2007,6,208,NWE,,Justise Hairston,RB,Central Connecticut St.,0,0,0,,,,,,,,,,,,,,,,,,
2007,7,228,GNB,WynnDe00,DeShawn Wynn,RB,Florida,0,0,0,23,64,332,5,0,0,13,0,14,19,122,0,1,0,-6,131,6,0
2007,7,236,PHI,,Nate Ilaoa,RB,Hawaii,0,0,0,,,,,,,,,,,,,,,,,,
2007,7,244,ATL,SnelJa00,Jason Snelling,RB,Virginia,0,0,0,96,368,1440,8,2,1,90,0,173,205,1282,10,3,1,220,1126,55,0
2007,7,246,TAM,DarbKe00,Kenneth Darby,RB,Alabama,0,0,0,41,95,408,2,1,1,22,0,49,58,356,1,0,0,25,339,16,0
2007,7,250,NYG,BradAh00,Ahmad Bradshaw,RB,Marshall,0,0,3,103,1194,5408,38,19,13,279,2,207,264,1634,12,1,1,-212,1802,75,0
2008,1,4,OAK,McFaDa00,Darren McFadden,RB,Arkansas,0,0,4,103,1302,5420,28,17,12,231,0,254,350,2114,5,3,2,204,2136,87,1
2008,1,13,CAR,StewJo00,Jonathan Stewart,RB,Oregon,0,1,5,134,1805,7808,56,23,15,389,0,171,237,1344,7,2,0,-80,1454,54,0
2008,1,22,DAL,JoneFe00,Felix Jones,RB,Arkansas,0,0,1,80,647,3129,12,8,5,149,0,140,175,1177,3,3,1,-78,1267,47,0
2008,1,23,PIT,MendRa00,Rashard Mendenhall,RB,Illinois,0,0,4,72,1142,4466,41,15,12,219,1,99,133,847,2,0,0,20,867,38,0
2008,1,24,TEN,JohnCh04,Chris Johnson,RB,East Carolina,1,3,7,130,2174,9723,56,17,14,396,1,308,406,2283,9,4,2,212,2258,81,0
2008,2,44,CHI,FortMa00,Matt Forte,RB,Tulane,0,2,9,146,2397,9939,54,15,12,463,2,568,730,4823,21,7,4,1101,4324,195,4
2008,2,55,BAL,RiceRa00,Ray Rice,RB,Rutgers,0,3,5,92,1621,6930,42,12,10,279,1,406,528,3330,7,3,2,215,3369,142,0
2008,3,64,DET,SmitKe02,Kevin Smith,RB,Central Florida,0,0,2,54,606,2366,18,6,3,112,0,131,168,1183,5,1,1,126,1126,52,0
2008,3,73,KAN,CharJa00,Jamaal Charles,RB,Texas,2,4,4,119,1419,7663,45,24,16,373,0,311,430,2608,20,4,4,367,2507,119,1
2008,3,89,HOU,SlatSt00,Steve Slaton,RB,West Virginia,0,0,2,45,442,1896,13,7,4,93,0,100,113,808,5,3,3,12,884,35,0
2008,4,122,DAL,ChoiTa00,Tashard Choice,RB,Georgia Tech,0,0,0,88,387,1622,11,3,2,90,1,82,116,580,0,1,1,-55,649,22,0
2008,5,139,DEN,ToraRy00,Ryan Torain,RB,Arizona St.,0,0,1,22,238,1011,6,3,1,44,0,24,36,148,2,0,0,-65,190,6,0
2008,5,149,ARI,HighTi00,Tim Hightower,RB,Richmond,0,0,2,77,799,3193,35,11,8,175,0,171,220,1273,4,2,0,10,1295,70,0
2008,5,166,SDG,ThomMa01,Marcus Thomas,RB,Texas-El Paso,0,0,0,3,,,,,,,,,,,,,,,,,
2008,6,172,ATL,BrowTh01,Thomas Brown,RB,Georgia,0,0,0,,,,,,,,,,,,,,,,,,
2008,6,176,MIA,ParmJa00,Jalen Parmele,RB,Toledo,0,0,0,36,52,200,0,0,0,10,0,7,9,60,0,0,0,10,54,2,0
2008,6,179,BUF,OmonXa00,Xavier Omon,RB,NW Missouri St.,0,0,0,7,11,27,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0
2008,6,202,IND,HartMi00,Mike Hart,RB,Michigan,0,0,0,21,80,282,2,0,0,18,0,13,16,106,0,1,0,39,76,6,0
